mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Lang-1-0001,Lang,1,1,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,34,1,0.15,0.15,1863,Qwen/Qwen3-8B
Lang-1-0002,Lang,1,2,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,34,1,0.95,0.95,849,Qwen/Qwen3-8B
Lang-1-0003,Lang,1,3,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,36,1,0.1,0.1,774,Qwen/Qwen3-8B
Lang-1-0004,Lang,1,4,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,36,1,0.15,0.15,869,Qwen/Qwen3-8B
Lang-1-0005,Lang,1,5,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,38,1,0.1,0.1,806,Qwen/Qwen3-8B
Lang-1-0006,Lang,1,6,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,38,1,0.15,0.15,876,Qwen/Qwen3-8B
Lang-1-0007,Lang,1,7,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,40,1,0.1,0.1,815,Qwen/Qwen3-8B
Lang-1-0008,Lang,1,8,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,40,1,0.1,0.1,825,Qwen/Qwen3-8B
Lang-1-0009,Lang,1,9,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,42,1,0.1,0.1,828,Qwen/Qwen3-8B
Lang-1-0010,Lang,1,10,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,42,1,0.15,0.15,908,Qwen/Qwen3-8B
Lang-1-0011,Lang,1,11,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,44,1,0.1,0.1,825,Qwen/Qwen3-8B
Lang-1-0012,Lang,1,12,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,44,1,0.1,0.1,832,Qwen/Qwen3-8B
Lang-1-0013,Lang,1,13,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,46,0,0.1,0.1,834,Qwen/Qwen3-8B
Lang-1-0014,Lang,1,14,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,46,0,0.1,0.1,836,Qwen/Qwen3-8B
Lang-1-0015,Lang,1,15,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,48,0,0.1,0.1,911,Qwen/Qwen3-8B
Lang-1-0016,Lang,1,16,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,48,0,0.1,0.1,910,Qwen/Qwen3-8B
Lang-1-0017,Lang,1,17,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,50,0,0.1,0.1,924,Qwen/Qwen3-8B
Lang-1-0018,Lang,1,18,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,50,0,0.1,0.1,906,Qwen/Qwen3-8B
Lang-1-0019,Lang,1,19,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,52,0,0.1,0.1,923,Qwen/Qwen3-8B
Lang-1-0020,Lang,1,20,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,52,0,0.1,0.1,928,Qwen/Qwen3-8B
Lang-1-0021,Lang,1,21,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,54,0,0.1,0.1,925,Qwen/Qwen3-8B
Lang-1-0022,Lang,1,22,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,54,0,0.1,0.1,906,Qwen/Qwen3-8B
Lang-1-0023,Lang,1,23,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,56,0,0.1,0.1,925,Qwen/Qwen3-8B
Lang-1-0024,Lang,1,24,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,56,0,0.1,0.1,921,Qwen/Qwen3-8B
Lang-1-0025,Lang,1,25,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,58,1,0.1,0.1,906,Qwen/Qwen3-8B
Lang-1-0026,Lang,1,26,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,58,1,0.1,0.1,906,Qwen/Qwen3-8B
Lang-1-0027,Lang,1,27,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,60,1,0.1,0.1,906,Qwen/Qwen3-8B
Lang-1-0028,Lang,1,28,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,60,1,0.1,0.1,925,Qwen/Qwen3-8B
Lang-1-0029,Lang,1,29,ORU,return_value,org.apache.commons.lang3.math.NumberUtils,62,1,0.1,0.1,908,Qwen/Qwen3-8B
Lang-1-0030,Lang,1,30,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,62,1,0.1,0.1,896,Qwen/Qwen3-8B
Lang-1-0031,Lang,1,31,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,62,1,0.1,0.1,889,Qwen/Qwen3-8B
Lang-1-0032,Lang,1,32,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,64,1,0.1,0.1,793,Qwen/Qwen3-8B
